School,Conference
colorado-state,Mountain West Conference
new-mexico,Mountain West Conference
air-force,Mountain West Conference
utah,Mountain West Conference
wyoming,Mountain West Conference
texas-christian,Mountain West Conference
long-island-university,Northeast Conference
quinnipiac,Northeast Conference
robert-morris,Northeast Conference
central-connecticut-state,Northeast Conference
st-francis-ny,Northeast Conference
wagner,Northeast Conference
mount-st-marys,Northeast Conference
bryant,Northeast Conference
saint-francis-pa,Northeast Conference
sacred-heart,Northeast Conference
monmouth,Northeast Conference
fairleigh-dickinson,Northeast Conference
murray-state,Ohio Valley Conference
morehead-state,Ohio Valley Conference
austin-peay,Ohio Valley Conference
tennessee-tech,Ohio Valley Conference
tennessee-state,Ohio Valley Conference
eastern-kentucky,Ohio Valley Conference
tennessee-martin,Ohio Valley Conference
southeast-missouri-state,Ohio Valley Conference
eastern-illinois,Ohio Valley Conference
jacksonville-state,Ohio Valley Conference
bucknell,Patriot League
american,Patriot League
holy-cross,Patriot League
lehigh,Patriot League
lafayette,Patriot League
navy,Patriot League
colgate,Patriot League
army,Patriot League
florida,Southeastern Conference
kentucky,Southeastern Conference
vanderbilt,Southeastern Conference
georgia,Southeastern Conference
tennessee,Southeastern Conference
south-carolina,Southeastern Conference
alabama,Southeastern Conference
mississippi-state,Southeastern Conference
mississippi,Southeastern Conference
arkansas,Southeastern Conference
auburn,Southeastern Conference
louisiana-state,Southeastern Conference
western-carolina,Southern Conference
chattanooga,Southern Conference
appalachian-state,Southern Conference
elon,Southern Conference
north-carolina-greensboro,Southern Conference
samford,Southern Conference
college-of-charleston,Southern Conference
wofford,Southern Conference
furman,Southern Conference
davidson,Southern Conference
citadel,Southern Conference
georgia-southern,Southern Conference
mcneese-state,Southland Conference
northwestern-state,Southland Conference
southeastern-louisiana,Southland Conference
nicholls-state,Southland Conference
lamar,Southland Conference
central-arkansas,Southland Conference
sam-houston-state,Southland Conference
texas-state,Southland Conference
stephen-f-austin,Southland Conference
texas-san-antonio,Southland Conference
texas-arlington,Southland Conference
texas-am-corpus-christi,Southland Conference
oakland,Summit League
oral-roberts,Summit League
iupui,Summit League
ipfw,Summit League
south-dakota-state,Summit League
missouri-kansas-city,Summit League
north-dakota-state,Summit League
southern-utah,Summit League
western-illinois,Summit League
centenary-la,Summit League
florida-atlantic,Sun Belt Conference
middle-tennessee,Sun Belt Conference
western-kentucky,Sun Belt Conference
south-alabama,Sun Belt Conference
troy,Sun Belt Conference
florida-international,Sun Belt Conference
arkansas-state,Sun Belt Conference
louisiana-lafayette,Sun Belt Conference
denver,Sun Belt Conference
north-texas,Sun Belt Conference
arkansas-little-rock,Sun Belt Conference
louisiana-monroe,Sun Belt Conference
texas-southern,Southwest Athletic Conference
jackson-state,Southwest Athletic Conference
mississippi-valley-state,Southwest Athletic Conference
alabama-state,Southwest Athletic Conference
alabama-am,Southwest Athletic Conference
grambling,Southwest Athletic Conference
prairie-view,Southwest Athletic Conference
arkansas-pine-bluff,Southwest Athletic Conference
alcorn-state,Southwest Athletic Conference
southern,Southwest Athletic Conference
utah-state,Western Athletic Conference
boise-state,Western Athletic Conference
idaho,Western Athletic Conference
new-mexico-state,Western Athletic Conference
hawaii,Western Athletic Conference
nevada,Western Athletic Conference
fresno-state,Western Athletic Conference
san-jose-state,Western Athletic Conference
louisiana-tech,Western Athletic Conference
saint-marys-ca,West Coast Conference
gonzaga,West Coast Conference
san-francisco,West Coast Conference
santa-clara,West Coast Conference
portland,West Coast Conference
pepperdine,West Coast Conference
loyola-marymount,West Coast Conference
san-diego,West Coast Conference
utah-valley,Great West Conference
njit,Great West Conference
north-dakota,Great West Conference
south-dakota,Great West Conference
chicago-state,Great West Conference
texas-pan-american,Great West Conference
houston-baptist,Great West Conference
north-carolina-central,Independent
savannah-state,Independent
longwood,Independent
seattle,Independent
cal-state-bakersfield,Independent
southern-illinois-edwardsville,Independent
