School,Conference
north-carolina,Atlantic Coast Conference
duke,Atlantic Coast Conference
florida-state,Atlantic Coast Conference
virginia,Atlantic Coast Conference
north-carolina-state,Atlantic Coast Conference
miami-fl,Atlantic Coast Conference
clemson,Atlantic Coast Conference
maryland,Atlantic Coast Conference
virginia-tech,Atlantic Coast Conference
wake-forest,Atlantic Coast Conference
georgia-tech,Atlantic Coast Conference
boston-college,Atlantic Coast Conference
stony-brook,America East Conference
vermont,America East Conference
boston-university,America East Conference
albany-ny,America East Conference
new-hampshire,America East Conference
hartford,America East Conference
maine,America East Conference
maryland-baltimore-county,America East Conference
binghamton,America East Conference
temple,Atlantic 10 Conference
saint-louis,Atlantic 10 Conference
xavier,Atlantic 10 Conference
st-bonaventure,Atlantic 10 Conference
massachusetts,Atlantic 10 Conference
la-salle,Atlantic 10 Conference
dayton,Atlantic 10 Conference
saint-josephs,Atlantic 10 Conference
duquesne,Atlantic 10 Conference
richmond,Atlantic 10 Conference
charlotte,Atlantic 10 Conference
george-washington,Atlantic 10 Conference
rhode-island,Atlantic 10 Conference
fordham,Atlantic 10 Conference
belmont,Atlantic Sun Conference
mercer,Atlantic Sun Conference
south-carolina-upstate,Atlantic Sun Conference
east-tennessee-state,Atlantic Sun Conference
north-florida,Atlantic Sun Conference
florida-gulf-coast,Atlantic Sun Conference
lipscomb,Atlantic Sun Conference
stetson,Atlantic Sun Conference
jacksonville,Atlantic Sun Conference
kennesaw-state,Atlantic Sun Conference
kansas,Big 12 Conference
missouri,Big 12 Conference
baylor,Big 12 Conference
iowa-state,Big 12 Conference
kansas-state,Big 12 Conference
texas,Big 12 Conference
oklahoma-state,Big 12 Conference
oklahoma,Big 12 Conference
texas-am,Big 12 Conference
texas-tech,Big 12 Conference
syracuse,Big East Conference
marquette,Big East Conference
notre-dame,Big East Conference
georgetown,Big East Conference
cincinnati,Big East Conference
south-florida,Big East Conference
louisville,Big East Conference
west-virginia,Big East Conference
seton-hall,Big East Conference
connecticut,Big East Conference
rutgers,Big East Conference
st-johns-ny,Big East Conference
pittsburgh,Big East Conference
villanova,Big East Conference
providence,Big East Conference
depaul,Big East Conference
montana,Big Sky Conference
weber-state,Big Sky Conference
portland-state,Big Sky Conference
eastern-washington,Big Sky Conference
montana-state,Big Sky Conference
idaho-state,Big Sky Conference
sacramento-state,Big Sky Conference
northern-colorado,Big Sky Conference
northern-arizona,Big Sky Conference
north-carolina-asheville,Big South Conference
coastal-carolina,Big South Conference
charleston-southern,Big South Conference
campbell,Big South Conference
liberty,Big South Conference
virginia-military-institute,Big South Conference
presbyterian,Big South Conference
high-point,Big South Conference
winthrop,Big South Conference
gardner-webb,Big South Conference
radford,Big South Conference
ohio-state,Big Ten Conference
michigan-state,Big Ten Conference
michigan,Big Ten Conference
wisconsin,Big Ten Conference
indiana,Big Ten Conference
purdue,Big Ten Conference
northwestern,Big Ten Conference
iowa,Big Ten Conference
minnesota,Big Ten Conference
illinois,Big Ten Conference
nebraska,Big Ten Conference
penn-state,Big Ten Conference
long-beach-state,Big West Conference
cal-state-fullerton,Big West Conference
california-santa-barbara,Big West Conference
cal-poly,Big West Conference
california-riverside,Big West Conference
california-irvine,Big West Conference
pacific,Big West Conference
cal-state-northridge,Big West Conference
california-davis,Big West Conference
drexel,Colonial Athletic Association
virginia-commonwealth,Colonial Athletic Association
george-mason,Colonial Athletic Association
old-dominion,Colonial Athletic Association
delaware,Colonial Athletic Association
georgia-state,Colonial Athletic Association
northeastern,Colonial Athletic Association
james-madison,Colonial Athletic Association
north-carolina-wilmington,Colonial Athletic Association
william-mary,Colonial Athletic Association
hofstra,Colonial Athletic Association
towson,Colonial Athletic Association
memphis,Conference USA
southern-mississippi,Conference USA
central-florida,Conference USA
tulsa,Conference USA
marshall,Conference USA
alabama-birmingham,Conference USA
rice,Conference USA
houston,Conference USA
texas-el-paso,Conference USA
east-carolina,Conference USA
southern-methodist,Conference USA
tulane,Conference USA
valparaiso,Horizon League
cleveland-state,Horizon League
detroit-mercy,Horizon League
butler,Horizon League
milwaukee,Horizon League
youngstown-state,Horizon League
green-bay,Horizon League
wright-state,Horizon League
illinois-chicago,Horizon League
loyola-il,Horizon League
harvard,Ivy Group
pennsylvania,Ivy Group
princeton,Ivy Group
yale,Ivy Group
cornell,Ivy Group
columbia,Ivy Group
brown,Ivy Group
dartmouth,Ivy Group
iona,Metro Atlantic Athletic Conference
loyola-md,Metro Atlantic Athletic Conference
manhattan,Metro Atlantic Athletic Conference
fairfield,Metro Atlantic Athletic Conference
rider,Metro Atlantic Athletic Conference
siena,Metro Atlantic Athletic Conference
niagara,Metro Atlantic Athletic Conference
marist,Metro Atlantic Athletic Conference
saint-peters,Metro Atlantic Athletic Conference
canisius,Metro Atlantic Athletic Conference
akron,Mid-American Conference
buffalo,Mid-American Conference
ohio,Mid-American Conference
kent-state,Mid-American Conference
bowling-green-state,Mid-American Conference
miami-oh,Mid-American Conference
eastern-michigan,Mid-American Conference
toledo,Mid-American Conference
ball-state,Mid-American Conference
western-michigan,Mid-American Conference
central-michigan,Mid-American Conference
northern-illinois,Mid-American Conference
savannah-state,Mid-Eastern Athletic Conference
norfolk-state,Mid-Eastern Athletic Conference
delaware-state,Mid-Eastern Athletic Conference
bethune-cookman,Mid-Eastern Athletic Conference
north-carolina-central,Mid-Eastern Athletic Conference
coppin-state,Mid-Eastern Athletic Conference
north-carolina-at,Mid-Eastern Athletic Conference
hampton,Mid-Eastern Athletic Conference
howard,Mid-Eastern Athletic Conference
morgan-state,Mid-Eastern Athletic Conference
florida-am,Mid-Eastern Athletic Conference
maryland-eastern-shore,Mid-Eastern Athletic Conference
south-carolina-state,Mid-Eastern Athletic Conference
wichita-state,Missouri Valley Conference
creighton,Missouri Valley Conference
illinois-state,Missouri Valley Conference
northern-iowa,Missouri Valley Conference
drake,Missouri Valley Conference
evansville,Missouri Valley Conference
missouri-state,Missouri Valley Conference
indiana-state,Missouri Valley Conference
southern-illinois,Missouri Valley Conference
bradley,Missouri Valley Conference
new-mexico,Mountain West Conference
