School,Conference
maryland,Atlantic Coast Conference
duke,Atlantic Coast Conference
wake-forest,Atlantic Coast Conference
north-carolina-state,Atlantic Coast Conference
virginia,Atlantic Coast Conference
georgia-tech,Atlantic Coast Conference
north-carolina,Atlantic Coast Conference
clemson,Atlantic Coast Conference
florida-state,Atlantic Coast Conference
vermont,America East Conference
boston-university,America East Conference
hartford,America East Conference
new-hampshire,America East Conference
maine,America East Conference
binghamton,America East Conference
albany-ny,America East Conference
northeastern,America East Conference
stony-brook,America East Conference
saint-josephs,Atlantic 10 Conference
temple,Atlantic 10 Conference
st-bonaventure,Atlantic 10 Conference
massachusetts,Atlantic 10 Conference
fordham,Atlantic 10 Conference
rhode-island,Atlantic 10 Conference
xavier,Atlantic 10 Conference
richmond,Atlantic 10 Conference
dayton,Atlantic 10 Conference
la-salle,Atlantic 10 Conference
george-washington,Atlantic 10 Conference
duquesne,Atlantic 10 Conference
georgia-state,Atlantic Sun Conference
troy,Atlantic Sun Conference
florida-atlantic,Atlantic Sun Conference
jacksonville,Atlantic Sun Conference
central-florida,Atlantic Sun Conference
samford,Atlantic Sun Conference
jacksonville-state,Atlantic Sun Conference
belmont,Atlantic Sun Conference
stetson,Atlantic Sun Conference
campbell,Atlantic Sun Conference
mercer,Atlantic Sun Conference
kansas,Big 12 Conference
oklahoma,Big 12 Conference
texas,Big 12 Conference
oklahoma-state,Big 12 Conference
texas-tech,Big 12 Conference
missouri,Big 12 Conference
kansas-state,Big 12 Conference
nebraska,Big 12 Conference
colorado,Big 12 Conference
baylor,Big 12 Conference
iowa-state,Big 12 Conference
texas-am,Big 12 Conference
connecticut,Big East Conference
miami-fl,Big East Conference
st-johns-ny,Big East Conference
boston-college,Big East Conference
villanova,Big East Conference
providence,Big East Conference
virginia-tech,Big East Conference
pittsburgh,Big East Conference
notre-dame,Big East Conference
georgetown,Big East Conference
syracuse,Big East Conference
rutgers,Big East Conference
seton-hall,Big East Conference
west-virginia,Big East Conference
montana-state,Big Sky Conference
eastern-washington,Big Sky Conference
weber-state,Big Sky Conference
montana,Big Sky Conference
northern-arizona,Big Sky Conference
portland-state,Big Sky Conference
idaho-state,Big Sky Conference
sacramento-state,Big Sky Conference
winthrop,Big South Conference
north-carolina-asheville,Big South Conference
radford,Big South Conference
charleston-southern,Big South Conference
elon,Big South Conference
high-point,Big South Conference
coastal-carolina,Big South Conference
liberty,Big South Conference
wisconsin,Big Ten Conference
illinois,Big Ten Conference
indiana,Big Ten Conference
michigan-state,Big Ten Conference
minnesota,Big Ten Conference
northwestern,Big Ten Conference
purdue,Big Ten Conference
iowa,Big Ten Conference
michigan,Big Ten Conference
penn-state,Big Ten Conference
ohio-state,Big Ten Conference
utah-state,Big West Conference
california-irvine,Big West Conference
pacific,Big West Conference
california-santa-barbara,Big West Conference
cal-state-northridge,Big West Conference
cal-poly,Big West Conference
long-beach-state,Big West Conference
idaho,Big West Conference
california-riverside,Big West Conference
cal-state-fullerton,Big West Conference
north-carolina-wilmington,Colonial Athletic Association
george-mason,Colonial Athletic Association
virginia-commonwealth,Colonial Athletic Association
drexel,Colonial Athletic Association
delaware,Colonial Athletic Association
old-dominion,Colonial Athletic Association
towson,Colonial Athletic Association
william-mary,Colonial Athletic Association
james-madison,Colonial Athletic Association
hofstra,Colonial Athletic Association
cincinnati,Conference USA
marquette,Conference USA
charlotte,Conference USA
saint-louis,Conference USA
louisville,Conference USA
east-carolina,Conference USA
depaul,Conference USA
memphis,Conference USA
houston,Conference USA
south-florida,Conference USA
texas-christian,Conference USA
alabama-birmingham,Conference USA
tulane,Conference USA
southern-mississippi,Conference USA
butler,Horizon League
detroit-mercy,Horizon League
milwaukee,Horizon League
wright-state,Horizon League
loyola-il,Horizon League
illinois-chicago,Horizon League
cleveland-state,Horizon League
green-bay,Horizon League
youngstown-state,Horizon League
pennsylvania,Ivy Group
yale,Ivy Group
princeton,Ivy Group
brown,Ivy Group
harvard,Ivy Group
columbia,Ivy Group
dartmouth,Ivy Group
cornell,Ivy Group
rider,Metro Atlantic Athletic Conference
marist,Metro Atlantic Athletic Conference
manhattan,Metro Atlantic Athletic Conference
niagara,Metro Atlantic Athletic Conference
iona,Metro Atlantic Athletic Conference
fairfield,Metro Atlantic Athletic Conference
siena,Metro Atlantic Athletic Conference
canisius,Metro Atlantic Athletic Conference
loyola-md,Metro Atlantic Athletic Conference
saint-peters,Metro Atlantic Athletic Conference
kent-state,Mid-American Conference
bowling-green-state,Mid-American Conference
ohio,Mid-American Conference
miami-oh,Mid-American Conference
marshall,Mid-American Conference
buffalo,Mid-American Conference
akron,Mid-American Conference
ball-state,Mid-American Conference
toledo,Mid-American Conference
western-michigan,Mid-American Conference
northern-illinois,Mid-American Conference
central-michigan,Mid-American Conference
eastern-michigan,Mid-American Conference
hampton,Mid-Eastern Athletic Conference
delaware-state,Mid-Eastern Athletic Conference
howard,Mid-Eastern Athletic Conference
south-carolina-state,Mid-Eastern Athletic Conference
north-carolina-at,Mid-Eastern Athletic Conference
norfolk-state,Mid-Eastern Athletic Conference
