School,Conference
north-carolina,Atlantic Coast Conference
duke,Atlantic Coast Conference
maryland,Atlantic Coast Conference
virginia,Atlantic Coast Conference
georgia-tech,Atlantic Coast Conference
wake-forest,Atlantic Coast Conference
north-carolina-state,Atlantic Coast Conference
florida-state,Atlantic Coast Conference
clemson,Atlantic Coast Conference
hofstra,America East Conference
delaware,America East Conference
drexel,America East Conference
maine,America East Conference
boston-university,America East Conference
northeastern,America East Conference
towson,America East Conference
vermont,America East Conference
new-hampshire,America East Conference
hartford,America East Conference
saint-josephs,Atlantic 10 Conference
xavier,Atlantic 10 Conference
temple,Atlantic 10 Conference
massachusetts,Atlantic 10 Conference
dayton,Atlantic 10 Conference
st-bonaventure,Atlantic 10 Conference
george-washington,Atlantic 10 Conference
la-salle,Atlantic 10 Conference
fordham,Atlantic 10 Conference
duquesne,Atlantic 10 Conference
rhode-island,Atlantic 10 Conference
georgia-state,Atlantic Sun Conference
troy,Atlantic Sun Conference
jacksonville,Atlantic Sun Conference
stetson,Atlantic Sun Conference
samford,Atlantic Sun Conference
mercer,Atlantic Sun Conference
jacksonville-state,Atlantic Sun Conference
campbell,Atlantic Sun Conference
florida-atlantic,Atlantic Sun Conference
central-florida,Atlantic Sun Conference
iowa-state,Big 12 Conference
kansas,Big 12 Conference
oklahoma,Big 12 Conference
texas,Big 12 Conference
oklahoma-state,Big 12 Conference
missouri,Big 12 Conference
nebraska,Big 12 Conference
baylor,Big 12 Conference
colorado,Big 12 Conference
kansas-state,Big 12 Conference
texas-am,Big 12 Conference
texas-tech,Big 12 Conference
boston-college,Big East Conference
providence,Big East Conference
st-johns-ny,Big East Conference
miami-fl,Big East Conference
villanova,Big East Conference
connecticut,Big East Conference
virginia-tech,Big East Conference
notre-dame,Big East Conference
georgetown,Big East Conference
syracuse,Big East Conference
west-virginia,Big East Conference
pittsburgh,Big East Conference
seton-hall,Big East Conference
rutgers,Big East Conference
cal-state-northridge,Big Sky Conference
eastern-washington,Big Sky Conference
idaho-state,Big Sky Conference
montana-state,Big Sky Conference
northern-arizona,Big Sky Conference
weber-state,Big Sky Conference
montana,Big Sky Conference
portland-state,Big Sky Conference
sacramento-state,Big Sky Conference
radford,Big South Conference
winthrop,Big South Conference
north-carolina-asheville,Big South Conference
charleston-southern,Big South Conference
coastal-carolina,Big South Conference
liberty,Big South Conference
elon,Big South Conference
high-point,Big South Conference
illinois,Big Ten Conference
michigan-state,Big Ten Conference
indiana,Big Ten Conference
wisconsin,Big Ten Conference
iowa,Big Ten Conference
penn-state,Big Ten Conference
purdue,Big Ten Conference
minnesota,Big Ten Conference
michigan,Big Ten Conference
northwestern,Big Ten Conference
ohio-state,Big Ten Conference
california-irvine,Big West Conference
utah-state,Big West Conference
long-beach-state,Big West Conference
california-santa-barbara,Big West Conference
pacific,Big West Conference
boise-state,Big West Conference
cal-poly,Big West Conference
idaho,Big West Conference
cal-state-fullerton,Big West Conference
richmond,Colonial Athletic Association
north-carolina-wilmington,Colonial Athletic Association
george-mason,Colonial Athletic Association
virginia-commonwealth,Colonial Athletic Association
william-mary,Colonial Athletic Association
old-dominion,Colonial Athletic Association
james-madison,Colonial Athletic Association
east-carolina,Colonial Athletic Association
american,Colonial Athletic Association
cincinnati,Conference USA
charlotte,Conference USA
marquette,Conference USA
saint-louis,Conference USA
louisville,Conference USA
depaul,Conference USA
southern-mississippi,Conference USA
memphis,Conference USA
south-florida,Conference USA
alabama-birmingham,Conference USA
houston,Conference USA
tulane,Conference USA
princeton,Ivy Group
brown,Ivy Group
pennsylvania,Ivy Group
harvard,Ivy Group
columbia,Ivy Group
yale,Ivy Group
dartmouth,Ivy Group
cornell,Ivy Group
iona,Metro Atlantic Athletic Conference
niagara,Metro Atlantic Athletic Conference
siena,Metro Atlantic Athletic Conference
marist,Metro Atlantic Athletic Conference
rider,Metro Atlantic Athletic Conference
manhattan,Metro Atlantic Athletic Conference
canisius,Metro Atlantic Athletic Conference
fairfield,Metro Atlantic Athletic Conference
loyola-md,Metro Atlantic Athletic Conference
saint-peters,Metro Atlantic Athletic Conference
kent-state,Mid-American Conference
marshall,Mid-American Conference
ohio,Mid-American Conference
bowling-green-state,Mid-American Conference
miami-oh,Mid-American Conference
akron,Mid-American Conference
buffalo,Mid-American Conference
central-michigan,Mid-American Conference
toledo,Mid-American Conference
ball-state,Mid-American Conference
western-michigan,Mid-American Conference
northern-illinois,Mid-American Conference
eastern-michigan,Mid-American Conference
hampton,Mid-Eastern Athletic Conference
south-carolina-state,Mid-Eastern Athletic Conference
delaware-state,Mid-Eastern Athletic Conference
norfolk-state,Mid-Eastern Athletic Conference
coppin-state,Mid-Eastern Athletic Conference
maryland-eastern-shore,Mid-Eastern Athletic Conference
north-carolina-at,Mid-Eastern Athletic Conference
howard,Mid-Eastern Athletic Conference
bethune-cookman,Mid-Eastern Athletic Conference
florida-am,Mid-Eastern Athletic Conference
morgan-state,Mid-Eastern Athletic Conference
creighton,Missouri Valley Conference
illinois-state,Missouri Valley Conference
bradley,Missouri Valley Conference
indiana-state,Missouri Valley Conference
southern-illinois,Missouri Valley Conference
evansville,Missouri Valley Conference
missouri-state,Missouri Valley Conference
drake,Missouri Valley Conference
wichita-state,Missouri Valley Conference
northern-iowa,Missouri Valley Conference
utah,Mountain West Conference
brigham-young,Mountain West Conference
wyoming,Mountain West Conference
nevada-las-vegas,Mountain West Conference
new-mexico,Mountain West Conference
colorado-state,Mountain West Conference
san-diego-state,Mountain West Conference
air-force,Mountain West Conference
st-francis-ny,Northeast Conference
monmouth,Northeast Conference
maryland-baltimore-county,Northeast Conference
long-island-university,Northeast Conference
wagner,Northeast Conference
central-connecticut-state,Northeast Conference
fairleigh-dickinson,Northeast Conference
saint-francis-pa,Northeast Conference
mount-st-marys,Northeast Conference
robert-morris,Northeast Conference
sacred-heart,Northeast Conference
quinnipiac,Northeast Conference
tennessee-tech,Ohio Valley Conference
eastern-illinois,Ohio Valley Conference
murray-state,Ohio Valley Conference
austin-peay,Ohio Valley Conference
southeast-missouri-state,Ohio Valley Conference
