School,Conference
wake-forest,Atlantic Coast Conference
maryland,Atlantic Coast Conference
duke,Atlantic Coast Conference
north-carolina-state,Atlantic Coast Conference
georgia-tech,Atlantic Coast Conference
virginia,Atlantic Coast Conference
north-carolina,Atlantic Coast Conference
clemson,Atlantic Coast Conference
florida-state,Atlantic Coast Conference
boston-university,America East Conference
vermont,America East Conference
hartford,America East Conference
binghamton,America East Conference
maine,America East Conference
northeastern,America East Conference
stony-brook,America East Conference
albany-ny,America East Conference
new-hampshire,America East Conference
saint-josephs,Atlantic 10 Conference
temple,Atlantic 10 Conference
rhode-island,Atlantic 10 Conference
massachusetts,Atlantic 10 Conference
fordham,Atlantic 10 Conference
st-bonaventure,Atlantic 10 Conference
xavier,Atlantic 10 Conference
dayton,Atlantic 10 Conference
richmond,Atlantic 10 Conference
la-salle,Atlantic 10 Conference
george-washington,Atlantic 10 Conference
duquesne,Atlantic 10 Conference
belmont,Atlantic Sun Conference
jacksonville-state,Atlantic Sun Conference
samford,Atlantic Sun Conference
georgia-state,Atlantic Sun Conference
gardner-webb,Atlantic Sun Conference
campbell,Atlantic Sun Conference
troy,Atlantic Sun Conference
mercer,Atlantic Sun Conference
central-florida,Atlantic Sun Conference
jacksonville,Atlantic Sun Conference
stetson,Atlantic Sun Conference
florida-atlantic,Atlantic Sun Conference
kansas,Big 12 Conference
texas,Big 12 Conference
oklahoma,Big 12 Conference
oklahoma-state,Big 12 Conference
missouri,Big 12 Conference
colorado,Big 12 Conference
texas-tech,Big 12 Conference
texas-am,Big 12 Conference
iowa-state,Big 12 Conference
baylor,Big 12 Conference
kansas-state,Big 12 Conference
nebraska,Big 12 Conference
boston-college,Big East Conference
connecticut,Big East Conference
providence,Big East Conference
villanova,Big East Conference
st-johns-ny,Big East Conference
miami-fl,Big East Conference
virginia-tech,Big East Conference
syracuse,Big East Conference
pittsburgh,Big East Conference
seton-hall,Big East Conference
notre-dame,Big East Conference
georgetown,Big East Conference
west-virginia,Big East Conference
rutgers,Big East Conference
weber-state,Big Sky Conference
eastern-washington,Big Sky Conference
idaho-state,Big Sky Conference
montana,Big Sky Conference
northern-arizona,Big Sky Conference
sacramento-state,Big Sky Conference
montana-state,Big Sky Conference
portland-state,Big Sky Conference
winthrop,Big South Conference
charleston-southern,Big South Conference
liberty,Big South Conference
elon,Big South Conference
north-carolina-asheville,Big South Conference
radford,Big South Conference
coastal-carolina,Big South Conference
high-point,Big South Conference
wisconsin,Big Ten Conference
illinois,Big Ten Conference
michigan,Big Ten Conference
purdue,Big Ten Conference
michigan-state,Big Ten Conference
indiana,Big Ten Conference
minnesota,Big Ten Conference
ohio-state,Big Ten Conference
iowa,Big Ten Conference
northwestern,Big Ten Conference
penn-state,Big Ten Conference
california-santa-barbara,Big West Conference
california-irvine,Big West Conference
utah-state,Big West Conference
cal-poly,Big West Conference
idaho,Big West Conference
cal-state-northridge,Big West Conference
cal-state-fullerton,Big West Conference
pacific,Big West Conference
california-riverside,Big West Conference
long-beach-state,Big West Conference
north-carolina-wilmington,Colonial Athletic Association
virginia-commonwealth,Colonial Athletic Association
drexel,Colonial Athletic Association
george-mason,Colonial Athletic Association
delaware,Colonial Athletic Association
old-dominion,Colonial Athletic Association
james-madison,Colonial Athletic Association
william-mary,Colonial Athletic Association
hofstra,Colonial Athletic Association
towson,Colonial Athletic Association
marquette,Conference USA
louisville,Conference USA
cincinnati,Conference USA
saint-louis,Conference USA
depaul,Conference USA
charlotte,Conference USA
east-carolina,Conference USA
memphis,Conference USA
alabama-birmingham,Conference USA
tulane,Conference USA
south-florida,Conference USA
houston,Conference USA
southern-mississippi,Conference USA
texas-christian,Conference USA
butler,Horizon League
milwaukee,Horizon League
illinois-chicago,Horizon League
loyola-il,Horizon League
detroit-mercy,Horizon League
green-bay,Horizon League
youngstown-state,Horizon League
wright-state,Horizon League
cleveland-state,Horizon League
pennsylvania,Ivy Group
brown,Ivy Group
princeton,Ivy Group
yale,Ivy Group
harvard,Ivy Group
cornell,Ivy Group
dartmouth,Ivy Group
columbia,Ivy Group
manhattan,Metro Atlantic Athletic Conference
fairfield,Metro Atlantic Athletic Conference
siena,Metro Atlantic Athletic Conference
niagara,Metro Atlantic Athletic Conference
iona,Metro Atlantic Athletic Conference
marist,Metro Atlantic Athletic Conference
rider,Metro Atlantic Athletic Conference
saint-peters,Metro Atlantic Athletic Conference
canisius,Metro Atlantic Athletic Conference
loyola-md,Metro Atlantic Athletic Conference
kent-state,Mid-American Conference
miami-oh,Mid-American Conference
akron,Mid-American Conference
marshall,Mid-American Conference
ohio,Mid-American Conference
buffalo,Mid-American Conference
central-michigan,Mid-American Conference
northern-illinois,Mid-American Conference
western-michigan,Mid-American Conference
ball-state,Mid-American Conference
bowling-green-state,Mid-American Conference
eastern-michigan,Mid-American Conference
toledo,Mid-American Conference
south-carolina-state,Mid-Eastern Athletic Conference
hampton,Mid-Eastern Athletic Conference
delaware-state,Mid-Eastern Athletic Conference
florida-am,Mid-Eastern Athletic Conference
coppin-state,Mid-Eastern Athletic Conference
norfolk-state,Mid-Eastern Athletic Conference
howard,Mid-Eastern Athletic Conference
morgan-state,Mid-Eastern Athletic Conference
bethune-cookman,Mid-Eastern Athletic Conference
maryland-eastern-shore,Mid-Eastern Athletic Conference
north-carolina-at,Mid-Eastern Athletic Conference
southern-illinois,Missouri Valley Conference
creighton,Missouri Valley Conference
wichita-state,Missouri Valley Conference
missouri-state,Missouri Valley Conference
evansville,Missouri Valley Conference
bradley,Missouri Valley Conference
northern-iowa,Missouri Valley Conference
drake,Missouri Valley Conference
illinois-state,Missouri Valley Conference
indiana-state,Missouri Valley Conference
utah,Mountain West Conference
brigham-young,Mountain West Conference
wyoming,Mountain West Conference
nevada-las-vegas,Mountain West Conference
san-diego-state,Mountain West Conference
colorado-state,Mountain West Conference
new-mexico,Mountain West Conference
air-force,Mountain West Conference
wagner,Northeast Conference
monmouth,Northeast Conference
central-connecticut-state,Northeast Conference
quinnipiac,Northeast Conference
saint-francis-pa,Northeast Conference
st-francis-ny,Northeast Conference
fairleigh-dickinson,Northeast Conference
long-island-university,Northeast Conference
robert-morris,Northeast Conference
mount-st-marys,Northeast Conference
sacred-heart,Northeast Conference
maryland-baltimore-county,Northeast Conference
austin-peay,Ohio Valley Conference
morehead-state,Ohio Valley Conference
tennessee-tech,Ohio Valley Conference
murray-state,Ohio Valley Conference
eastern-illinois,Ohio Valley Conference
tennessee-martin,Ohio Valley Conference
southeast-missouri-state,Ohio Valley Conference
eastern-kentucky,Ohio Valley Conference
tennessee-state,Ohio Valley Conference
holy-cross,Patriot League
american,Patriot League
colgate,Patriot League
lehigh,Patriot League
bucknell,Patriot League
lafayette,Patriot League
navy,Patriot League
army,Patriot League
kentucky,Southeastern Conference
florida,Southeastern Conference
georgia,Southeastern Conference
tennessee,Southeastern Conference
south-carolina,Southeastern Conference
vanderbilt,Southeastern Conference
mississippi-state,Southeastern Conference
auburn,Southeastern Conference
louisiana-state,Southeastern Conference
alabama,Southeastern Conference
mississippi,Southeastern Conference
arkansas,Southeastern Conference
appalachian-state,Southern Conference
east-tennessee-state,Southern Conference
davidson,Southern Conference
western-carolina,Southern Conference
virginia-military-institute,Southern Conference
north-carolina-greensboro,Southern Conference
college-of-charleston,Southern Conference
chattanooga,Southern Conference
georgia-southern,Southern Conference
wofford,Southern Conference
furman,Southern Conference
citadel,Southern Conference
sam-houston-state,Southland Conference
stephen-f-austin,Southland Conference
texas-arlington,Southland Conference
texas-state,Southland Conference
mcneese-state,Southland Conference
lamar,Southland Conference
louisiana-monroe,Southland Conference
southeastern-louisiana,Southland Conference
texas-san-antonio,Southland Conference
northwestern-state,Southland Conference
nicholls-state,Southland Conference
western-kentucky,Sun Belt Conference
middle-tennessee,Sun Belt Conference
arkansas-little-rock,Sun Belt Conference
arkansas-state,Sun Belt Conference
florida-international,Sun Belt Conference
louisiana-lafayette,Sun Belt Conference
new-mexico-state,Sun Belt Conference
south-alabama,Sun Belt Conference
new-orleans,Sun Belt Conference
denver,Sun Belt Conference
north-texas,Sun Belt Conference
prairie-view,Southwest Athletic Conference
mississippi-valley-state,Southwest Athletic Conference
texas-southern,Southwest Athletic Conference
alabama-state,Southwest Athletic Conference
alcorn-state,Southwest Athletic Conference
grambling,Southwest Athletic Conference
jackson-state,Southwest Athletic Conference
southern,Southwest Athletic Conference
alabama-am,Southwest Athletic Conference
arkansas-pine-bluff,Southwest Athletic Conference
fresno-state,Western Athletic Conference
tulsa,Western Athletic Conference
southern-methodist,Western Athletic Conference
nevada,Western Athletic Conference
rice,Western Athletic Conference
hawaii,Western Athletic Conference
louisiana-tech,Western Athletic Conference
boise-state,Western Athletic Conference
san-jose-state,Western Athletic Conference
texas-el-paso,Western Athletic Conference
gonzaga,West Coast Conference
san-diego,West Coast Conference
san-francisco,West Coast Conference
pepperdine,West Coast Conference
saint-marys-ca,West Coast Conference
portland,West Coast Conference
loyola-marymount,West Coast Conference
santa-clara,West Coast Conference
